Issue key,Technology,Year,Model Category,Category Confidence,Root Cause,Root Cause Theme,Resolved From Issue
BT-263832,BT,2024,YB/Lost,0.0,"While executing a D3 scenario, prior to entering D0, we observed incorrect PCIE context info, which we suspect is due to an unidentified bug in the hardware. Consequently, the firmware (FW) triggered a fatal exception, leading to a soft reset of the CPU. During this soft reset, we encountered an additional Top exception rewriting all original exception data that was alraedy recorded in persistent.

The details of this Top exception suggest an issue that occurred during the initialization of the FSEQ following the soft reset due to original exception. However, the extra details provided by the Top exception data was inconclusive as per Top team. We assume that the hardware may have already been in a bad state due to the original issue when FW attempted to program the FSEQ as part of the initialization after the soft reset.

Due to the current exception handling approach, we lacked adequate data for debugging.

Proposed Solution: To address this issue, systems suggested halting the CPU immediately after any exception occurs. This will allow the host to collect debug information related to the exception before the firmware proceeds further and trigger further exceptions due to any instability already in the system.",Insufficient Root-Cause Detail,BT-263832
BT-258275,BT,2024,BSOD,0.0,"WDfRequestComplete with Unsuccessful is not an expected
return value for the stack. Corrected this while, HW error
event received in top error case where we will not fwd it
to stack, instead we complete the request with status
success.",Driver and OS Interface Contract Issues,BT-258275
BT-249593,BT,2024,BSOD,0.0,Issue is driver trying to read or access unallocated memory.,Memory and Resource Management Issues,BT-249593
BT-242267,BT,2024,BSOD,0.0,"While powering down in reboot scenario, FDO is moving to D3 final and PDO moved to D2, but PDO went back to D0 due to an IOCTL received from MSFT stack and wdfrequestcomplete is done with STATUS_DEVICE_BUSY which is not accepted by the stack as per msdn which can accept only STATUS_SUCCESS and if fails with STATUS_CANCELLED with proper data.",Driver and OS Interface Contract Issues,BT-242267
BT-183232,BT,2023,HLK,0.0,"[HLK][22H2][GfP] Bluetooth - HciExtensionsV2 (Development and Integration) fails with received 0 advertisements, but expected at least 16",Firmware and Hardware Interface Communication Issues,BT-183232
BT-162869,BT,2023,BSOD,0.0,There is a global device context stored in the driver extension which is added in device add callback and removed in device context cleanup. In the device reset scenario there is a race condition happening where new device add is happening before the previous device cleanup which is causing device be null in the driver ext.,Timing Synchronization and Race Condition Issues,BT-162869
BT-70178,BT,2022,Connectivity,0.0,"In the scenario of Pulse duraiton = 0, Pulse interval =0, we will only reload Ring duration timer, pulse duration, interval timers will be inactive.
In fw, we should reload Ring duration timer for 60sec.
we are calling ring start timer, which already active and running, so timer set api not reloading timer when it's already active.
FW should stop the timer before everytime before reloading it.",Timing Synchronization and Race Condition Issues,BT-70178
BT-66763,BT,2022,Connectivity,0.0,Due to the multiple role switch during the connection setup and Override link policy settings enabled the connection process was failing with multiple issues. Changes done as part of BT-70469 fixed this issue of avoiding multiple role switches.,State Machine Transition and Flow Handling Issues,BT-66763
BT-59398,BT,2022,Connectivity,0.0,"Windows Os is using different PowerActions to notify driver shutdown using command line and UI menu. Tile is configuring for  S5 based on the powerAction values. Now with the given fix, driver handles both the powerActions for S5.",Power State Transition and Reset Recovery Issues,BT-59398
BT-56390,BT,2022,Connectivity,0.0,"During D0exit hci response for VS command(set S5 state) is not read . This packet remains in USB rx buffer , and doesnot allow controller to go in Low power mode",Power State Transition and Reset Recovery Issues,BT-56390
BT-45129,BT,2021,BSOD,0.0,"EtwRegister/Unregister calls expected as per MSDN KMDF drivers to be under DriverEntry and unload. Currently in ibtusb driver, we have put it under device context under preparehardware and devicecleanup and HLK not able to detect these calls. So moved to driver context as per MSDN rules.",Driver and OS Interface Contract Issues,BT-45129
BT-25285,BT,2021,Connectivity,0.0,"There is a race between remote initiated wake and host initiated wait.
Host is sending a wake request(because of host initiated wakeuo) and firmware is expecting a wake response.",Timing Synchronization and Race Condition Issues,BT-25285
