Issue key,Issue id,Custom field (Exposure),Summary,Reporter,Created,Custom field (Customer Name),Custom field (State Reason),Component/s,Component/s,Custom field (Closed Reason),Status,Custom field (Found in build),Custom field (Fix in Build),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Assignee,Custom field (Root Cause),Resolution
WIFI-319012,1705038,1-Critical,[Samsung][GfP2][MTL][Win11 SV3][Assert:0x20100504]YB appears after S4 resume.,kjfang,29/Jun/23 10:17 PM,Samsung,Fixed,TOP->FW,,,Closed,22.240.0.5,core80_GaP_PV1,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,kjfang,,Fixed
WIFI-318975,1705302,2-High,"[ThinkPad JP][Thames][MTL][BE200][22H2] GaP2 TX tput unstable or disconnection during tput test -- uCode ASSERT(LMAC1, rtStatus = 0x28BF, log is valid. data1:0x0, data2:0x32)",timdaway,29/Jun/23 4:38 PM,Lenovo - ThinkPad JP,Fixed,System->PHY,,,Closed,22.235.0.4,CRWFW8166_99.0.82.5,Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,,,,,,GaP_PV1,,,,,,,,,,P2-High,timdaway,"fixed by Lifshitz, Elad: 71ee2366f32f9b3a57dede3fd4de3890c212123e
PHY: do not set adc pll lock indication in loopback config",Fixed
WIFI-318707,1703077,1-Critical,"[MSFT][Ersa DV][RPL][TyP][UID_841112] Elmer | DRTU | connection failure Command XVT_CMD_RESET_XVT_MODE failed with status 31 --  uCode ASSERT (lmacID = 0x0, rtStatus = 0x201013F2)",timdaway,28/Jun/23 11:15 AM,Microsoft,Fixed,TOP->FSEQ,,,Closed,99.0.57.1_DRV_fdffb2_FW_9679af_143941,CRWFW8147_99.0.82.3,Typhoon Peak 2 (AX210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1-Stopper,timdaway,"DCR-1009 SCU active to idle
FIXED FW was delivered to TyP xvt stream managed by PHY team",Fixed
WIFI-317378,1693923,3-Medium,"[ThinkPad JP][Thames][22H2][MTL][AX211] Event Error ID 17 for IPF on systems after Hibernate / Resume test --FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x5004dead) 0x132e",timdaway,20/Jun/23 7:27 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->System flows,,,Closed,22.235.0.4,M_99.0.81.11_DRV_b708f4_FW_b56fd4_169571_t64,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,gzitok,,Fixed
WIFI-316376,1689939,2-High,[Samsung][Venus 4-14 MTL][MTL][GfP2][W11 SV2] WLAN Yellow bang issue,kjfang,16/Jun/23 7:51 PM,Samsung,Fixed,FW->Infra,,,Closed,22.235.1.1,CRWFW8166_99.0.82.5,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,kjfang,"HW wait event is not working well over ARC700.  Replace it w/ SW waiting

How it was found?
We see that during IPC protocol that using HW wait event, when handling
interrupt on exit from the wait, the UMAC start to behave strange and at
the end it is stuck and only PLDR resolve the issue.",Fixed
WIFI-316292,1689288,2-High,"[MSFT][Avantii/Malwa][MTL][22H2][GfP2] not able to run ""Margin Test"" with CITU tool",timdaway,16/Jun/23 3:05 PM,Microsoft,Fixed,TOP->FW,,,Closed, PHWFW07472_22.215.0.13,M_99.0.81.6_DRV_26cd11_FW_288345_166902,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,timdaway,SV script wasn't integrated to USC driver + missing definition and implementation of WREQ-225179,Fixed
WIFI-315524,1680029,2-High,[DRTU][BE200][MTL][22.235][SISO] Chain A always 1.5 dBm less than target,nickych,08/Jun/23 2:52 PM,Intel,Fixed,FW->PHY,,,Closed,PHWFW07595_22.235.0.4,CRWFW8166_99.0.82.5,Misty Peak 2 (BE202),,,,,,,,,,,,,,,,,,,,,,GaP_PV1,postM_noTask,,,,,,,,,P2-High,nickych,"mSAR feature is enabled for DTM. To disable it, need to send GRP_INTERNAL_SYSTEM_FEATURES_CONTROL_CMD",Fixed
WIFI-312707,1672900,2-High,[MSFT][Ersa DV][RPL][TyP][Intel UID 824448][v1043 ][Internal]ERSA 160mhz RU 67/67s for CA ch50  are not as expected,timdaway,01/Jun/23 10:35 AM,Microsoft,Fixed,System->PHY,,,Closed,PHWFW07299_22.200.0.6 PV ,C79_22.230.0.8_DRV_ca821e_FW_69b2f1_164900,Typhoon Peak 2 (industrial) (AX210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,timdaway,,Fixed
WIFI-312496,1671958,1-Critical,"[Lenovo][Wistron][Thinkbook 13X Gen2][ADL][GfP2]Intel AX211 Rx link speed is not stable and wireless dock APP sometimes show ""weak connection""",caizhiqi,31/May/23 11:12 AM,Lenovo - IdeaPad,Fixed,WinDriver->Performance,,,Closed,22.230.0.6,22.240,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,tccb_of_tccb_windrv,windrv_tccb_review_done,,,,,,,,,P2-High,caizhiqi,don't ignore multicast packets when calculating the rx link speed,Fixed
WIFI-311191,1659508,2-High,[DELL][Compal][MTL][AX211][Win11SV2]Tributo MTL_CNVi sku used CITU tool can not work,frankfcy,18/May/23 10:50 AM,Dell,Fixed,TOP->FW,,,Closed,22.215/22.235,"PHWFW07792_23.0.0.7, CRWFW8017_99.0.81.6",Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,CITU,gap_mtl_cp_completed,,,,,,,,,P1-Stopper,frankfcy,SV script wasn't integrated to USC driver + missing definition and implementation of WREQ-225179,Fixed
WIFI-310123,1660879,2-High,"[Wingtech][HUAWEI][yutu Gz][Raptor Lake][22H2]During the ""App online multimedia with reboot"" pressure test using the DUT tool, an Intel (R) Wi Fi 6 AX201 160MHz driver YB(0x5004dead) appeared",zhe12,19/May/23 1:49 PM,Huawei,Fixed,FW->Data Path,,,Closed,22.220.0.4,PHWFW07761_22.240.0.4,Harrison Peak 2 Solar (AX201),,,,,,,,,,,,,,,,,,,,,,0x315,postM_noTask,,,,,,,,,P2-High,zhe12,"Getting NDPA + NDP, VHT MU, when we are the 2nd STA to return feedback. Then getting beamformee report poll (BFRP) sent with VHT rate.
This seems to be an AP bug as it should be on legacy rate.
We fail on ppdu size comparison and we don't update the feedback rate accordingly - trying to return feedback with rate 6 Mbps (ack rate) so feedback is too long, which results in WPAL NMI. ",Fixed
WIFI-310098,1660642,1-Critical,[HP][Quanta]-[Willie][MTL][Win11 22H2][GaP ES2][Internal] DRTU suddenly Pop Out Error ID: 0x34 -- FW Assert 0x34,timdaway,19/May/23 1:07 PM,HP,Fixed,FW->Data Path,,,Closed,PHWFW07595_22.235.0.4,M_99.0.81.2_DRV_ceb7cf_FW_ff6e3c_164745 ,Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,,,,,,gap_mtl_cp_completed,gap_mtl_cp_required,GaP_PV1,postM_noTask,,,,,,,P2-High,timdaway,TAS code for TML implemented wrong loop over fifo mask so the loop was forever,Fixed
WIFI-309847,1659782,2-High,"[MTL-P][CSLP][Lenovo_Thames][22H2][WW1.4GC][HSD 14018641332][Internal] ASSERT log Observed  : Intel(R) Wi-Fi 6E AX211 160MHz during S4 cycling-- FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x21101326 -- missing cnvi top request in 4phs req register",timdaway,18/May/23 4:47 PM,Lenovo - ThinkPad JP,Fixed,FW->Power Save,,,Closed,PHWFW07595_22.235.0.4,"PHWFW07738_23.0.0.5, CRWFW7970_99.0.81.3",Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,gap_mtl_cp_completed,postM_noTask,,,,,,,,,P1-Stopper,timdaway,"second scenario for the same bug of sys pwr req - cnvi_top is not rising in some cases wake arrive after vxtl got out of WAIT_FOR_SEQ state and MRG_SEQ go out of idle (wrong) and actually a short no needed wake occur and create a bad wake right after it. fixing the mrg_seq is needed. scu adding the cnvi_top to the wakeup vector in any case when it is missing, FW ignore  the stts in req resources status",Fixed
WIFI-309488,1658090,2-High,[HUAWEI][HUAQIN][MorganG][Intel RPL][Intel AX 211][WIFI][Win11]It occured wifi driver YB(assert code : 0x132E  ) after connect wifi.,zhe12,17/May/23 8:33 PM,Huawei,Fixed,System->MAC,,,Closed,22.220.0.4,PHWFW07761_22.240.0.4,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,0x132E,,,,,,,,,,P2-High,zhe12,"FW sha1

797c20f3d026571a7047ee25174b022625ef1942",Fixed
WIFI-309456,1658084,1-Critical,[Dell][Compal][Kenai MTL][BE200][Win11SV2]Wlan driver installed by inf and Wlan device showed YB (pending TOP-1586),frankfcy,17/May/23 5:10 PM,Dell,Fixed,TOP->FW,,,Closed,22.215.0.13 or 22.235.0.4,M_99.0.81.10_DRV_9e0fd0_FW_862898_169008 ,Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,,,,,,BSOD_YB_GaP,gap_mtl_cp_not_required,GaP_PV1,,,,,,,,P2-High,frankfcy,assert 0x508 due to SWCAP_TIMER_EXPIRED,Fixed
WIFI-308133,1653437,2-High,[ThinkPad JP][Thames][MTL-H][GaP] No AP scanned when using BIOS with 3.2.22.23172 UEFI FW intermittently,timdaway,13/May/23 12:17 AM,Lenovo - ThinkPad JP,Fixed,UEFIDriver,,,Closed,3.2.22.23172,3.2.23.23194 ( Core 79-53 ),Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,,,,,,UEFI_GaP,,,,,,,,,,P2-High,timdaway,switching to ES2 as planned,Fixed
WIFI-307362,1650549,2-High,"[HUAWEI][HUAQIN][MorganF][Intel ADL][Intel AX 211][WIFI][Win11]The WiFi disconnected and the wifi driver occured YB. with err code “FATAL_ERROR: uCode ASSERT(LMAC1, rtStatus = 0x91”",zhe12,09/May/23 3:46 PM,Huawei,Fixed,FW->Data Path,,,Closed,22.220.0.4,CRWFW7939_99.0.81.2,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,0x91,postM_noTask,,,,,,,,,P2-High,zhe12,"Getting NDPA + NDP, VHT MU, when we are the 2nd STA to return feedback. Then getting beamformee report poll (BFRP) sent with VHT rate.
This seems to be an AP bug as it should be on legacy rate.
We fail on ppdu size comparison and we don't update the feedback rate accordingly - trying to return feedback with rate 6 Mbps (ack rate) so feedback is too long, which results in WPAL NMI. ",Fixed
WIFI-306265,1645194,2-High,"[ASUS][InHouse][UX5304VA][RPL][Ax211] YB assert 0x315 when running S4 aging and WRT preset ""Gacrux""",nickych,04/May/23 6:53 PM,Asus,Fixed,FW->Debug,,,Closed,22H2,CRWFW8166_99.0.82.5,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,nickych,"WRT BT presets included forbidden register area
the BT related presets were updated and fixed
please test with the latest WRT tool as indicated below",Fixed
WIFI-303797,1636924,1-Critical,[DELL][CSLP][Arches_MLK][WW13][PM]:Intel Wi-Fi YB (assert 0x310) Issue Observed  after 5 G3 Cycles Manually,frankfcy,25/Apr/23 4:22 PM,Dell,Fixed,System->MAC,,,Closed,22.215,"CRWFW8051_99.0.81.8, SBHWFW00015_23.0.0.8",Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,gap_mtl_cp_completed,,,,,,,,,,P2-High,frankfcy,"TOP-1314 - WMPM CNVR top FSM deadlock, was not added for MGR.
Modified WA for MGR (details in latest comment) was added to FSEQ 3.88.
",Fixed
WIFI-303040,1632639,2-High,[IP3][inhouse][Tigerlake][project][AX101]AX101 2.4GHz download speed not stable and assert 0x4444 after BT enable,caizhiqi,23/Apr/23 11:32 AM,WIKO,Fixed,FW->PHY,,,Closed,22.180.11.1,22.240,Harrison Peak 1 Quasar (AX101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3-Medium,caizhiqi,AGC table,Fixed
WIFI-302568,1629970,2-High,[Samsung][inhouse][GMDE-758][ADL][AX201]PC(GO) is disconnecting to Phone(P2P Client) [assert 0x1054],caizhiqi,20/Apr/23 2:24 PM,Samsung,Fixed,FW->Data Path,,,Closed,"22.190.0.4;22.220.0.4",CRWFW8166_99.0.82.5,Garfield Peak 2 Solar (AX211),Harrison Peak 2 Solar (AX201),,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,caizhiqi,Fixed in WIFI-294441,Fixed
WIFI-302222,1628338,1-Critical,[Lenovo_IdeaPad_CSLP][LCFC][S590][MTL][AX211] WLAN YB and  assert 0x00000092/0x20100502 during Warm Boot stress test,caizhiqi,19/Apr/23 12:52 PM,Lenovo - IdeaPad,Fixed,System->MAC,,,Closed,"22.215;22.235;23.0.0.6","SBHWFW00144_23.0.0.23, CRWFW8326_99.0.83.3",Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,gap_mtl_cp_completed,,,,,,,,,,P1-Stopper,caizhiqi,RDC - WMPM Reset Domain Crossing,Fixed
WIFI-301735,1625999,2-High,22.220PV DDD Driver does not work properly,osternsc,17/Apr/23 5:03 PM,,Fixed,WinDriver->DDD,,,Closed,22.220.0.4PV,22.230,Typhoon Peak 2 (industrial) (AX210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,osternsc,"cross certification is no longer valid
need to move the machine to test mode",Fixed
WIFI-295482,1598814,2-High,[HP][Win11][CFL][ThP2][Tobago][BSOD 0x124] System hang up with black screen and BSOD 0x124 occurred when running S3/S4 stress test,flee5,21/Mar/23 5:12 PM,HP,Fixed,WinDriver->System flows,,,Closed,22.200.0.6,CRWFW8402_99.0.83.5,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,Lenovo_infra,,,,,,,,,,P2-High,flee5,"cc51: ca0d5c43533964b034e84aa44a9e9c037269729e
Not needed for any other core (yet), seen on ThP only.

Flush PCI pipe before completing the PNP_SET_POWER task.
Fix for a race that was found on weak CPU/PCI, where
driver is writing into a CSR, however, the actual right occurs
after we complete the PNP_SET_POWER task.
This causes WHEA unrecoverable error and leading to BSOD 0x124.
Due to weak CPU, or might be a combination with multiple
PCI bridges on this platform, the actual write is not instant.

For some reason, issue was not seen on Win10, while stated appearing
on Win11 - might be different PCI error handling logic.

Deeper analysis: it was seen using PCI analyzer that after driver
is completing the PNP_SET_POWER task, OS puts the PCI in low power mode,
and no further transactions are allowed. However, then we see a memory
write TLP - our CSR write, which was obviously initiated before.

As a WA, need to “flush” the PCI, by reading from the last written CSR
before competing the task. This should ensure that all previous
transactions have completed and it is safe to put PCI into sleep.",Fixed
WIFI-294189,1593519,3-Medium,[Honor][huaqin][FermiG][RPL][AX201][21H1]The connection between Wi-Fi SoftAP and phone is disconnected for Assert  0x4433  ,gaozhany,16/Mar/23 9:07 AM,Honor,Fixed,FW->Data Path,,,Closed,22.190.0.4,CRWFW7778_99.0.80.3,Harrison Peak 2 Solar (AX201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3-Medium,gaozhany,"Duplicate of https://jira.idoc.intel.com/browse/WIFI-282405
Starvation of BK/BE fifos in P2P/GO scenarios causing early queue hang.",Fixed
WIFI-293032,1560957,2-High,[HP][Quanta]-[Willie][MTL][BE200][Win11 22H2]Intel Ant tool and WRT tool can’t output  “GEO SAR TABLE” of BIOS,timdaway,18/Feb/23 11:10 AM,HP,Fixed,FW->PHY,,,Closed,PHWFW07111_22.205.0.3,99.0.79,Gale Peak 2 (BE200),Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,GaP_Exclude_From_DashBoard,postM_noTask,,,,,,,,,P2-High,timdaway,FmP's GEO profiles are ordered per band. GEO profile ID was parsed wrong in SAR functions,Fixed
WIFI-292530,1583074,2-High,"[MTL-P][CSLP][Lenovo_Thames][22H2][WW1.4GC][HSD 14018641332] Observed YB : Intel(R) Wi-Fi 6E AX211 160MHz during S4 cycling-- FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x21101326 -- waking up without sys_clk and pwr_req ",timdaway,10/Mar/23 3:05 PM,Lenovo - ThinkPad JP,Fixed,FW->Power Save,,,Closed,"22.205.0.2 ; 22.215.0.5",CRWFW7562_99.0.78.10 or 22.215.0.7 spin,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,timdaway,"in rarely cases power up resources vector is missing pwr & sys_clk req,
the issue occur while two wakeup sources arrive in specific scenario ,
in this case the trigger of second sequencer arrive while MAC in STATE_ON,
this causing the VXTL to skip the state of rising the pwr and sys clk request toward the SCU through the wmpm -> SCU channel,
the request will arrive in any case through the host VXTL to the SCU.
the suggested FW solution is adding the HOST - >SCU  (pwr,sys_clk) indication to the 4phs resources checking.",Fixed
WIFI-291872,1580038,1-Critical,[HP][Quanta]-[Herbie][MTL][UMA][AX211][Win11 22H2]WLAN lost and show YB in DM after idle about 10 mins.(SIO2173358) -- 0x20100505,timdaway,07/Mar/23 5:17 PM,HP,Fixed,Product->Platform Board Design,,,Closed,PHWFW07403_22.215.0.7G,CRWFW7648_99.0.79.3,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,HW,,,,,,,,,,P2-High,timdaway,,Fixed
WIFI-290882,1575199,2-High,"[Lenovo ThinkPad JP][ThamesMersey1][MTL-P]CITU Marginal Test Failure -- 7074 0000007074    01:47:04:977    [NIC_DEBUG    ][14] [E] FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20100505, log is  valid. data1 = 0x2, data2 = 0x1)",timdaway,03/Mar/23 4:43 PM,Lenovo - ThinkPad JP,Fixed,TOP->FW,,,Closed,22.215.0.6_PHWFW07369_WW07'23,PHWFW07472_22.215.0.13G + EXT FW Bin,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,timdaway,,Fixed
WIFI-290154,1572394,2-High,"[Huawei][Quanta][H9UR][CurieG][AX211][22H2][WLAN][800040329][YB][0x2010300F]After the DUT is normally connected to WIFI for a period of time, turn off the WIFI switch, sleep again, and drive the yellow mark after waking up for a period of time",chuchar1,01/Mar/23 11:50 AM,Huawei,Fixed,FW->MVM,,,Closed,22.200.0.6,M_99.0.79.1_DRV_9e9871_FW_a6df66_153020,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,chuchar1,"After allocating the TE_STA_AGGRESSIVE_ASSOCIATION event, we
want to use its apply time also for the TE_STA_ASSOCIATION event.

But, if the scheduler was not able to decide on an apply time
for TE_STA_AGGRESSIVE_ASSOCIATION (and will be decided later),
the apply time in TE_STA_AGGRESSIVE_ASSOCIATION event descriptor
will be zero.

Adding an event with time 0 can cause assert 0x300F (since the
event is located in the past and starts running immediately
while another event, from another binding, is already running.
This is also a bug that needs to be investigated).",Fixed
WIFI-287970,1564208,1-Critical,[MTL-P][CSLP][Lenovo_Thames][22H2][GalePeak2][Internal] BSOD9f encountered on Thames-1 system and is pointing to WLAN -- 0x9F_3_Netwaw12_IMAGE_pci.sys,timdaway,21/Feb/23 5:55 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->System flows,,,Closed,PHWFW07111_22.205.0.3,PHWFW07595_22.235.0.4,Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,,,,,,0x9f,bsod,BSOD_YB_GaP,GaP_PV1,lk_9f,lk-dead-on-resume,MUST_Beta_B0_GaP,MUST_PV1_GaP,,,P2-High,timdaway,"https://gerritwcs.ir.intel.com/c/wifi_drv-dev/+/52756 
[BUGFIX] Return failure at EvtDeviceD0EntryPostInterruptsEnabled  on resume
to D0 in case reset recovery was requested by Driver

Description: Original issue issue if 9F post resume from D3, once PLDR requested by Driver
(WIFI-273238/WIFI-287970/...)

Following MSFT documentation, upon failure on power-up sequence stage, Driver is obligated to return failure for corresponding CB",Fixed
WIFI-287819,1563588,2-High,[Honor][Huaqin][Born&FermiG][Intel RPL][Intel AX201][WIFI][22H2][100%]Cannot connect to ATT 750W 5G WiFi,gaozhany,21/Feb/23 9:31 AM,Honor,Fixed,WinDriver->Connectivity,,,Closed,22.200.0.6,22.230.0.2,Harrison Peak 2 Solar (AX201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,gaozhany,,Fixed
WIFI-287055,1560433,2-High,"[MTL-P][CSLP][Lenovo_Thames][22H2][WW1.4GC][HSD 14018641332] Observed YB : Intel(R) Wi-Fi 6E AX211 160MHz during S4 cycling-- FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x21101326",timdaway,18/Feb/23 12:03 PM,Lenovo - ThinkPad JP,Fixed,FW->Power Save,,,Closed,"22.205.0.2 ; 22.215.0.5",CRWFW7562_99.0.78.10 or 22.215.0.7 spin,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,timdaway,"HW bug, Fast condition is not support thus results unusual behaviors",Fixed
WIFI-286819,1559430,1-Critical,[DELL][Compal][ADL][GfP2][Southpeak 13 MLK]Smart Antenna Tool can not work with 22.170,frankfcy,16/Feb/23 9:41 PM,Dell,Fixed,FW->MFUART,,,Closed,22.170,PHWFW07615_22.230.0.8,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,postM_noTask,,,,,,,,,,P2-High,frankfcy,"As per new Swad, Link state is no more updated with station config cmd but with Mac Config cmd. Moved the smartAntenna function which update Mac params from station config cmd handling to Mac config cmd.",Fixed
WIFI-286793,1558977,2-High,"[HUAQIN][ASUS][AX211][RPL][22H2][22.200] System cannot connect to specific AP (But RTK, QC WLAN PASS)",nickych,16/Feb/23 5:44 PM,Asus,Fixed,WinDriver->Connectivity,,,Closed,22.200,CRWFW8166_99.0.82.5,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_review_done,,,,,,,,,,P2-High,nickych,"The bug occurs with known misbehaving AP which advertises ECSA with CS-to-self
in its probe responses (not in beacons)
We saw this behavior in the past and implemented  DCR-261 (WREQ-36392) which allows us to connect to such APs
But in this setup the AP advertises operating class = 0x1a (26) while we’re in China MCC domain 0x434E (I see this in the RLG log didn’t find Country IE in AP beacons/probes)
According to the table E-6 in Annex E in the spec this operating class is invalid for China
So when we try to determine if the ECSA contains CS to self we attempt to retrieve the band by operating class + channel number, and since such operating class doesn’t exist
 in the current MCC we conclude that the CS is not CS to self, since the band is different (INVALID_BAND) though the channel number is the same
and thus we exclude such candidate and don’t connect though our competitors such as QCOM and RTEK do
The system requirement was to ignore the operating class in this specific case and assume the same band as the old one",Fixed
WIFI-286646,1558837,2-High,[Samsung][QuickShare][Vesta-15]No GO nego confirm and P2P establish fail between PC and Phone,caizhiqi,16/Feb/23 1:42 PM,Samsung,Fixed,WinDriver->WiFi Extensions,,,Closed,22.160.3.2,PHWFW07426_22.220.0.1,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_review_done,,,,,,,,,,P2-High,caizhiqi,"We have an issue with Samsung where we got GON response at the  same
time we sent to FW GON confirm
This cause canceling the DAF to FW and GON confirm was never sent in this case
The solution is to check that we got the GON response with the same token we got
in the last GON response and simply discard it.(meaning not sending it to OS
and not canceling the DAF.",Fixed
WIFI-284407,1548237,2-High,[Dell][Compal][Teton][RPL][PUID: 737809] System longer boot(circling) time after install WLAN 22.170.2.1(With DMAr Eanble),frankfcy,07/Feb/23 10:41 AM,Dell,Fixed,WinDriver->Performance,,,Closed,22.170.2.3,PHWFW07506_22.220.0.4,Typhoon Peak 2 (AX210),,,,,,,,,,,,,,,,,,,,,,DMAr,windrv_tccb_review_done,,,,,,,,,P2-High,frankfcy,"due to Microsoft bug, memory allocation while DMAr enabled takes too long.
because we allocate all our needed buffers in init flow, the init flow duration increased.
the solution is to allocate the buffers in big memory chunks, which decrease the number of allocation dramatically -> init flow duration decreased.",Fixed
WIFI-283806,1544349,1-Critical,[ASUS][USC][TGL] OEM Tool cannot connected with USC which in PV packet,nickych,02/Feb/23 6:19 PM,Asus,Fixed,WinDriver->Installation,,,Closed,"PHWFW07299_22.200.0.6; PHWFW07109_22.190.0.4",CRWFW7467_99.0.78.6,Harrison Peak 2 Quasar (AX201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,nickych,"Issue with loading incorrect USC dll when installing the driver on QsR family HW's.

After QsR family core freeze (core74, net10) there was an issue with USC ext INF that loaded net12 USC dll instead of net10 USC dll causing mismatch issue between the USC version the driver compiled with and the USC that was installed.",Fixed
WIFI-283451,1544742,2-High,[HP][GfP2][Field Issue] Intermittent YB,flee5,03/Feb/23 11:38 AM,HP,Fixed,WinDriver->Performance,,,Closed,22.190.0.4,CRWFW7562_99.0.78.10,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,pnperr,,,,,,,,,,P2-High,flee5,"allocation of big memory chunks at the init flow, caused other memory allocation that have to be continues to fail.
we changed the memory allocation implementation to use a generic infra, which does not ""regret"" already allocated memory, does not re-try to alloc failed granularity, and change the alloc order, in order to allocate the buffers at the end of the flow.",Fixed
WIFI-283154,1543790,2-High,[NECPC-JP][ADL-U][AX211] BSOD occurs during communication test of mobile hotspot - DPC_WATCHDOG_VIOLATION (133) - Netwtw10!osalSyncAcquireSpinLock+0x16,timdaway,02/Feb/23 12:47 PM,NEC,Fixed,WinDriver->Connectivity,,,Closed,PHWFW06907_22.170.4.2G,22.220.0.4 PV PHWFW07521,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_review_done,,,,,,,,,,P2-High,timdaway,"In two places in the  hmfmCommonUpdateBssEntry() we
can return from the function without releasing the aquired lock on the
BSS table which caused BSOD",Fixed
WIFI-283151,1543786,2-High,[Dell][Compal][RPL][Nexus][DBS test] Killer1690i DBS test fail in OTA Assert 0x103C,frankfcy,02/Feb/23 11:35 AM,Dell,Fixed,FW->Data Path,,,Closed,DVT1,PHWFW07615_22.230.0.8,Garfield Peak 4 Solar (AX411),,,,,,,,,,,,,,,,,,,,,,assert-0x103C,postM_noTask,,,,,,,,,P2-High,frankfcy,Merged the WA after good feedback from client: https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/8391,Fixed
WIFI-278898,1526848,2-High,[FCCL][Qsr][HrP2][22.190DDD] Cannot install v22.190.0.0.4 DDD driver,nickych,16/Jan/23 1:12 PM,Fujitsu,Fixed,WinDriver->Infrastructure,,,Closed,22.190.0.4 DDD,M_99.0.78.1_DRV_9b9919_FW_73f35f_144943,Harrison Peak 2 Quasar (AX201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,nickych,Quasar / JfP based TICs were missing from DDD INF,Fixed
